Timestamp,Select all of the following activities you are currently involved in.,Do you want to transfer to a 4 year institution? ,Do you want to transfer to an out-of-state institution?,Which type of institution do you want to transfer to?,After how many years at Community College do you hope to transfer (enter just the number)
10/10/2024 15:30:15,"Community Service/Volunteer Work, Paid Work/Internship, Sports, Instruments, Hobbies, Leadership Position, Personal Project/Business, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",2
10/10/2024 15:45:18,"Sports, Instruments, Hobbies, Personal Project/Business, School Life (Clubs, Programs, Student Gov)",Yes,No,Private University,1
10/10/2024 15:48:32,"Community Service/Volunteer Work, Paid Work/Internship, Sports, Instruments, Hobbies, Educational Preparation Program, Leadership Position, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",2
10/10/2024 15:52:56,"Community Service/Volunteer Work, Educational Preparation Program, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",2
10/10/2024 18:39:41,Community Service/Volunteer Work,Yes,Yes,"Public University (UC's, CSU's, etc)",2
10/10/2024 18:39:43,"Community Service/Volunteer Work, Paid Work/Internship, Sports, Instruments, Hobbies, Educational Preparation Program, Leadership Position, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",2
10/10/2024 18:46:21,"Paid Work/Internship, Educational Preparation Program",Yes,No,"Public University (UC's, CSU's, etc)",2
10/10/2024 19:00:14,"Paid Work/Internship, Sports, Instruments, Hobbies",Yes,No,"Public University (UC's, CSU's, etc)",2
10/10/2024 19:06:50,"Community Service/Volunteer Work, Paid Work/Internship",Yes,No,"Public University (UC's, CSU's, etc)",2
10/10/2024 22:43:09,"Community Service/Volunteer Work, Paid Work/Internship, Sports, Instruments, Hobbies",Yes,No,"Public University (UC's, CSU's, etc)",2
10/10/2024 23:15:26,"Paid Work/Internship, Sports, Instruments, Hobbies, Personal Project/Business",Yes,No,"Public University (UC's, CSU's, etc)",2
10/11/2024 7:56:34,"Paid Work/Internship, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",2
10/11/2024 16:50:42,"Community Service/Volunteer Work, Paid Work/Internship, Sports, Instruments, Hobbies, Educational Preparation Program, Leadership Position, Personal Project/Business, School Life (Clubs, Programs, Student Gov)",Yes,No,"Public University (UC's, CSU's, etc)",3
