Timestamp,What is your major at Cypress College?,Which program is your major aligned with?,Which program do you believe to be the hardest?,Which program do you believe to be the easiest?
10/10/2024 16:00:20,Nursing,Health Science,"Science, Engineering, Math",Social Sciences
10/17/2024 10:31:41,Biology ,"Science, Engineering, Math","Science, Engineering, Math",Visual & Performing Arts
10/17/2024 10:32:17,Biology,Health Science,Health Science,Social Sciences
10/17/2024 11:05:20,Civil Engineering,"Science, Engineering, Math","Science, Engineering, Math",Social Sciences
10/17/2024 13:30:45,Comp Sci,"Science, Engineering, Math","Science, Engineering, Math",Visual & Performing Arts
10/17/2024 13:30:53,Engineering,"Science, Engineering, Math","Science, Engineering, Math",Social Sciences
10/17/2024 13:34:44,Biology,Health Science,"Science, Engineering, Math",Language Arts
10/17/2024 16:47:49,Data Science,"Science, Engineering, Math","Science, Engineering, Math",Language Arts
10/17/2024 17:22:52,Biology-premed,"Science, Engineering, Math","Science, Engineering, Math",Visual & Performing Arts
10/17/2024 17:23:20,Dental Assistant ,Health Science,Business & Computer Information Systems,Visual & Performing Arts
10/17/2024 17:23:33,Registered nursing,Health Science,"Science, Engineering, Math",Social Sciences
10/17/2024 17:24:32,Computer Science,Business & Computer Information Systems,"Science, Engineering, Math",Language Arts
10/17/2024 17:25:33,Radiologic Technology,Health Science,"Science, Engineering, Math",Visual & Performing Arts
10/20/2024 12:19:27,Business Administration ,Business & Computer Information Systems,Kinesiology,Visual & Performing Arts
10/21/2024 1:14:00,Cognitive Science ,Business & Computer Information Systems,"Science, Engineering, Math",Visual & Performing Arts
10/21/2024 15:06:43,Creative Writing Certificate ,Language Arts,"Science, Engineering, Math",Language Arts
10/21/2024 18:54:04,Engineering,"Science, Engineering, Math","Science, Engineering, Math",Visual & Performing Arts
10/21/2024 18:54:54,Developmental Psychology,Health Science,Business & Computer Information Systems,Kinesiology
10/25/2024 17:56:27,psychology at fullerton,Career Technical Education,Kinesiology,Visual & Performing Arts
10/25/2024 18:16:56,Computer Information Systems,Business & Computer Information Systems,Business & Computer Information Systems,Language Arts
10/25/2024 18:19:25,Ayehsa,Undecided,"Science, Engineering, Math",Visual & Performing Arts
10/25/2024 18:23:21,Psychology ,Social Sciences,"Science, Engineering, Math",Visual & Performing Arts
10/25/2024 18:26:40,Sonography ,Health Science,Health Science,Language Arts
